chebiId	cid	cmpdType	nsc
CHEBI:16265	NA	NA	NA
CHEBI:16267	NA	NA	NA
CHEBI:16269	949	standardized	7195
CHEBI:16275	NA	NA	NA
CHEBI:16283	67678	standardized	13203
CHEBI:16284	NA	NA	NA
CHEBI:16285	26840	standardized	108698
CHEBI:16286	NA	NA	NA
CHEBI:16290	NA	NA	NA
CHEBI:16291	NA	NA	NA
CHEBI:16296	9060	standardized	97942
CHEBI:16297	NA	NA	NA
CHEBI:16300	NA	NA	NA
CHEBI:16301	NA	NA	NA
CHEBI:16302	NA	NA	NA
CHEBI:16304	NA	NA	NA
CHEBI:16311	NA	NA	NA
CHEBI:16313	NA	NA	NA
CHEBI:16315	NA	NA	NA
CHEBI:16320	NA	NA	NA
CHEBI:16322	NA	NA	NA
CHEBI:16325	9903	standardized	683770,657956
CHEBI:16327	NA	NA	NA
CHEBI:16330	10635	standardized	10972
CHEBI:16332	NA	NA	NA
CHEBI:16335	60961	standardized	7652,627048,755857
CHEBI:16336	NA	NA	NA
CHEBI:16337	NA	NA	NA
CHEBI:16338	NA	NA	NA
CHEBI:16341	NA	NA	NA
CHEBI:16344	763	standardized	1901,26360,227847
CHEBI:16345	NA	NA	NA
CHEBI:16347	10917	standardized	741806,759132
CHEBI:16347	10918	component	NA
CHEBI:16349	9750	standardized	27425
CHEBI:1634	NA	NA	NA
CHEBI:16356	NA	NA	NA
CHEBI:16359	221493	standardized	6135
CHEBI:16361	NA	NA	NA
CHEBI:16367	NA	NA	NA
CHEBI:16372	NA	NA	NA
CHEBI:16375	NA	NA	NA
CHEBI:1637	NA	NA	NA
CHEBI:16382	NA	NA	NA
CHEBI:16383	5459816	standardized	NA
CHEBI:16383	643757	component	7616,227901
CHEBI:16389	4462	standardized	268269
CHEBI:16393	NA	NA	NA
CHEBI:16397	713	standardized	748
CHEBI:1639	NA	NA	NA
CHEBI:16400	NA	NA	NA
CHEBI:16410	1052	standardized	21278
CHEBI:16411	802	standardized	3787
CHEBI:16412	NA	NA	NA
CHEBI:16414	6287	standardized	76038,760111,125673
CHEBI:16415	NA	NA	NA
CHEBI:16418	NA	NA	NA
CHEBI:16422	6128	standardized	9563
CHEBI:16424	998	standardized	406309
CHEBI:16427	NA	NA	NA
CHEBI:1642	NA	NA	NA
CHEBI:16434	NA	NA	NA
CHEBI:16436	13804	standardized	122002
CHEBI:16436	13805	component	NA
CHEBI:16441	NA	NA	NA
CHEBI:16443	NA	NA	NA
CHEBI:16446	NA	NA	NA
CHEBI:16449	602	standardized	7602,158286,206315
CHEBI:16450	13712	standardized	23615
CHEBI:16452	164550	standardized	NA
CHEBI:16452	970	component	77688
CHEBI:16454	NA	NA	NA
CHEBI:16455	NA	NA	NA
CHEBI:16456	NA	NA	NA
CHEBI:16462	11161	standardized	46707
CHEBI:16466	NA	NA	NA
CHEBI:16467	6322	standardized	206269,203450
CHEBI:16469	5757	standardized	9895
CHEBI:1646	NA	NA	NA
CHEBI:16470	NA	NA	NA
CHEBI:16474	NA	NA	NA
CHEBI:16478	NA	NA	NA
CHEBI:16480	NA	NA	NA
CHEBI:16482	931	standardized	37565
CHEBI:16485	NA	NA	NA
CHEBI:16493	NA	NA	NA
CHEBI:16494	864	standardized	90788,628502,758651
CHEBI:16496	NA	NA	NA
CHEBI:16497	NA	NA	NA
CHEBI:16500	NA	NA	NA
CHEBI:16503	NA	NA	NA
CHEBI:16504	NA	NA	NA
CHEBI:16509	4650	standardized	36324
CHEBI:16510	NA	NA	NA
CHEBI:16514	5280666	standardized	732318
CHEBI:16516	NA	NA	NA
CHEBI:16518	NA	NA	NA
CHEBI:16521	246983	standardized	60677
CHEBI:16523	71077	standardized	77689
CHEBI:16525	NA	NA	NA
CHEBI:16526	NA	NA	NA
CHEBI:16530	NA	NA	NA
CHEBI:16533	NA	NA	NA
CHEBI:16536	10436	standardized	12441
CHEBI:16540	8871	standardized	172522,176167
CHEBI:16543	NA	NA	NA
CHEBI:16547	5280536	standardized	NA
CHEBI:16548	299	standardized	124074
CHEBI:16551	7427	standardized	2093
CHEBI:16552	NA	NA	NA
CHEBI:16556	NA	NA	NA
CHEBI:1655	NA	NA	NA
CHEBI:16563	72301	standardized	36363
CHEBI:16565	NA	NA	NA
CHEBI:16566	NA	NA	NA
CHEBI:16567	5459842	standardized	NA
CHEBI:16567	227	component	144,3937,40929,173996
CHEBI:16577	NA	NA	NA
CHEBI:16580	NA	NA	NA
CHEBI:16581	8955	standardized	1616
CHEBI:16583	650	standardized	8750
CHEBI:16584	NA	NA	NA
CHEBI:16586	564	standardized	26154,400230,212532,755867
CHEBI:16595	NA	NA	NA
CHEBI:16602	6575	standardized	389
CHEBI:16605	7858	standardized	6526
CHEBI:16608	NA	NA	NA
CHEBI:16610	1102	standardized	528399
CHEBI:16615	NA	NA	NA
CHEBI:16618	NA	NA	NA
CHEBI:16619	445070	standardized	60597
CHEBI:166251	NA	NA	NA
CHEBI:16633	NA	NA	NA
CHEBI:16634	439242	standardized	2025,170228
CHEBI:16635	NA	NA	NA
CHEBI:16643	6137	standardized	22946,760117,118113
CHEBI:16645	NA	NA	NA
CHEBI:16650	NA	NA	NA
CHEBI:16651	NA	NA	NA
CHEBI:16659	NA	NA	NA
CHEBI:1665	NA	NA	NA
CHEBI:16660	NA	NA	NA
CHEBI:16664	2082	standardized	220008,758644
CHEBI:16668	NA	NA	NA
CHEBI:16670	NA	NA	NA
CHEBI:16675	1066	standardized	13127,18836,403247
CHEBI:16680	NA	NA	NA
CHEBI:16684	NA	NA	NA
CHEBI:16690	NA	NA	NA
CHEBI:16692	NA	NA	NA
CHEBI:16695	NA	NA	NA
CHEBI:16697	22819	standardized	31258
CHEBI:16698	9864	standardized	24133,267195
CHEBI:16704	6029	standardized	20256
CHEBI:16708	190	standardized	14666,757793
CHEBI:167099	NA	NA	NA
CHEBI:16709	1054	standardized	36225,759148
CHEBI:1670	NA	NA	NA
CHEBI:16714	NA	NA	NA
CHEBI:16716	241	standardized	67315
CHEBI:16723	NA	NA	NA
CHEBI:16724	3037032	standardized	84223
CHEBI:16724	10413	component	84223
CHEBI:16728	NA	NA	NA
CHEBI:16732	NA	NA	NA
CHEBI:16733	NA	NA	NA
CHEBI:16738	8449	standardized	2879
CHEBI:16742	967	standardized	9791,627082,758903
CHEBI:16749	NA	NA	NA
CHEBI:16750	6802	standardized	19994
CHEBI:16752	NA	NA	NA
CHEBI:16753	NA	NA	NA
CHEBI:16755	10133	standardized	657949
CHEBI:16759	NA	NA	NA
CHEBI:16761	NA	NA	NA
CHEBI:16763	3593277	standardized	NA
CHEBI:16763	58	component	60533
CHEBI:16765	NA	NA	NA
CHEBI:16767	7257	standardized	247
CHEBI:16768	NA	NA	NA
CHEBI:16769	NA	NA	NA
CHEBI:16778	5280704	standardized	407303
CHEBI:16782	NA	NA	NA
CHEBI:16783	NA	NA	NA
CHEBI:16792	NA	NA	NA
CHEBI:16793	NA	NA	NA
CHEBI:16794	3000322	standardized	61806
CHEBI:16796	896	standardized	113928,56423
CHEBI:16797	NA	NA	NA
CHEBI:16802	NA	NA	NA
CHEBI:16804	98468	standardized	140739
CHEBI:16807	NA	NA	NA
CHEBI:16810	164533	standardized	NA
CHEBI:16810	51	component	17391
CHEBI:16813	11850	standardized	1944
CHEBI:16814	12594	standardized	72822
CHEBI:16815	NA	NA	NA
CHEBI:16827	5753	standardized	9705
CHEBI:16828	6305	standardized	13119,757373
CHEBI:16830	NA	NA	NA
CHEBI:16831	1662	standardized	361411,760412
CHEBI:16835	NA	NA	NA
CHEBI:16836	980	standardized	1317
CHEBI:168396	446541	standardized	129185,757424
CHEBI:16842	712	standardized	298885
CHEBI:16847	NA	NA	NA
CHEBI:1684	NA	NA	NA
CHEBI:16851	NA	NA	NA
CHEBI:16852	NA	NA	NA
CHEBI:16856	124886	standardized	400639,758199
CHEBI:16857	6288	standardized	16589,46701,760118
CHEBI:16858	NA	NA	NA
CHEBI:16862	NA	NA	NA
CHEBI:16863	NA	NA	NA
CHEBI:16865	119	standardized	27418,32044,45460,51295,757426
CHEBI:16867	84815	standardized	45689
CHEBI:16870	NA	NA	NA
CHEBI:16871	NA	NA	NA
CHEBI:16875	NA	NA	NA
CHEBI:16881	798	standardized	1964
CHEBI:16882	NA	NA	NA
CHEBI:16891	760	standardized	27785
CHEBI:16892	777	standardized	28247
CHEBI:16893	NA	NA	NA
CHEBI:16894	NA	NA	NA
CHEBI:16897	NA	NA	NA
CHEBI:16898	9260	standardized	89305
CHEBI:16901	NA	NA	NA
